path,weight,complexity,seed,diff
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-5/Pleasant______field_S235711120_St25_G7.5.51.png,-5,62.96,235711120,2.4399999999999977
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-5/Pleasant______field_S235711121_St25_G7.5.52.png,-5,63.58,235711121,1.2299999999999969
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-5/Pleasant______field_S235711122_St25_G7.5.53.png,-5,56.51,235711122,5.640000000000001
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-5/Pleasant______field_S235711123_St25_G7.5.54.png,-5,46.07,235711123,-0.2700000000000031
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-5/Pleasant______field_S235711124_St25_G7.5.55.png,-5,56.84,235711124,2.1000000000000014
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-4/Pleasant_____field_S235711120_St25_G7.5.46.png,-4,62.05,235711120,1.529999999999994
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-4/Pleasant_____field_S235711121_St25_G7.5.47.png,-4,62.96,235711121,0.6099999999999994
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-4/Pleasant_____field_S235711122_St25_G7.5.48.png,-4,54.28,235711122,3.4100000000000037
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-4/Pleasant_____field_S235711123_St25_G7.5.49.png,-4,46.06,235711123,-0.28000000000000114
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-4/Pleasant_____field_S235711124_St25_G7.5.50.png,-4,56.44,235711124,1.6999999999999957
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-3/Pleasant____field_S235711120_St25_G7.5.41.png,-3,61.08,235711120,0.5599999999999952
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-3/Pleasant____field_S235711121_St25_G7.5.42.png,-3,62.1,235711121,-0.25
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-3/Pleasant____field_S235711122_St25_G7.5.43.png,-3,53.33,235711122,2.460000000000001
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-3/Pleasant____field_S235711123_St25_G7.5.44.png,-3,45.7,235711123,-0.6400000000000006
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-3/Pleasant____field_S235711124_St25_G7.5.45.png,-3,55.36,235711124,0.6199999999999974
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-2/Pleasant___field_S235711120_St25_G7.5.36.png,-2,60.33,235711120,-0.19000000000000483
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-2/Pleasant___field_S235711121_St25_G7.5.37.png,-2,61.27,235711121,-1.0799999999999983
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-2/Pleasant___field_S235711122_St25_G7.5.38.png,-2,51.47,235711122,0.6000000000000014
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-2/Pleasant___field_S235711123_St25_G7.5.39.png,-2,45.27,235711123,-1.0700000000000003
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-2/Pleasant___field_S235711124_St25_G7.5.40.png,-2,54.97,235711124,0.22999999999999687
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-1/Pleasant__field_S235711120_St25_G7.5.31.png,-1,58.91,235711120,-1.6100000000000065
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-1/Pleasant__field_S235711121_St25_G7.5.32.png,-1,60.35,235711121,-2.0
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-1/Pleasant__field_S235711122_St25_G7.5.33.png,-1,51.13,235711122,0.2600000000000051
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-1/Pleasant__field_S235711123_St25_G7.5.34.png,-1,45.25,235711123,-1.0900000000000034
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant-1/Pleasant__field_S235711124_St25_G7.5.35.png,-1,54.73,235711124,-0.010000000000005116
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant/Pleasant_field_S235711120_St25_G7.5.1.png,0,60.52,235711120,0.0
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant/Pleasant_field_S235711121_St25_G7.5.2.png,0,62.35,235711121,0.0
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant/Pleasant_field_S235711122_St25_G7.5.3.png,0,50.87,235711122,0.0
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant/Pleasant_field_S235711123_St25_G7.5.4.png,0,46.34,235711123,0.0
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant/Pleasant_field_S235711124_St25_G7.5.5.png,0,54.74,235711124,0.0
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+1/Pleasant__field_S235711120_St25_G7.5.6.png,1,60.53,235711120,0.00999999999999801
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+1/Pleasant__field_S235711121_St25_G7.5.7.png,1,62.45,235711121,0.10000000000000142
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+1/Pleasant__field_S235711122_St25_G7.5.8.png,1,50.94,235711122,0.07000000000000028
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+1/Pleasant__field_S235711123_St25_G7.5.9.png,1,46.38,235711123,0.03999999999999915
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+1/Pleasant__field_S235711124_St25_G7.5.10.png,1,54.85,235711124,0.10999999999999943
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+2/Pleasant___field_S235711120_St25_G7.5.11.png,2,60.71,235711120,0.18999999999999773
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+2/Pleasant___field_S235711121_St25_G7.5.12.png,2,62.43,235711121,0.0799999999999983
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+2/Pleasant___field_S235711122_St25_G7.5.13.png,2,50.93,235711122,0.060000000000002274
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+2/Pleasant___field_S235711123_St25_G7.5.14.png,2,46.47,235711123,0.12999999999999545
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+2/Pleasant___field_S235711124_St25_G7.5.15.png,2,55.06,235711124,0.3200000000000003
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+3/Pleasant____field_S235711120_St25_G7.5.16.png,3,60.74,235711120,0.21999999999999886
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+3/Pleasant____field_S235711121_St25_G7.5.17.png,3,61.14,235711121,-1.2100000000000009
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+3/Pleasant____field_S235711122_St25_G7.5.18.png,3,51.21,235711122,0.3400000000000034
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+3/Pleasant____field_S235711123_St25_G7.5.19.png,3,45.69,235711123,-0.6500000000000057
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+3/Pleasant____field_S235711124_St25_G7.5.20.png,3,55.0,235711124,0.259999999999998
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+4/Pleasant_____field_S235711120_St25_G7.5.21.png,4,60.59,235711120,0.07000000000000028
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+4/Pleasant_____field_S235711121_St25_G7.5.22.png,4,61.98,235711121,-0.37000000000000455
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+4/Pleasant_____field_S235711122_St25_G7.5.23.png,4,51.46,235711122,0.5900000000000034
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+4/Pleasant_____field_S235711123_St25_G7.5.24.png,4,46.51,235711123,0.1699999999999946
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+4/Pleasant_____field_S235711124_St25_G7.5.25.png,4,55.08,235711124,0.3399999999999963
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+5/Pleasant______field_S235711120_St25_G7.5.26.png,5,59.78,235711120,-0.740000000000002
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+5/Pleasant______field_S235711121_St25_G7.5.27.png,5,61.44,235711121,-0.9100000000000037
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+5/Pleasant______field_S235711122_St25_G7.5.28.png,5,52.77,235711122,1.9000000000000057
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+5/Pleasant______field_S235711123_St25_G7.5.29.png,5,48.54,235711123,2.1999999999999957
/home/jerre/git/Stable_Diffusion_IC/colab_images/Pleasant+5/Pleasant______field_S235711124_St25_G7.5.30.png,5,55.19,235711124,0.44999999999999574
